n  |dist(asec)|prob. |     link ref      |     link      |        identifier         |typ| coord1                    |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |bib |not
1  | 432278.16|    50|2012AJ....143...80S|S              |UCAC4 785-021138           |PM*|150.4998512 +66.8577020    |     ~|     ~|12.289|11.808|     ~|M3             |   9|   0
2  | 429214.48|    75|2013ApJ...762...88M|S              |UCAC3 176-23654            |PM*|083.499254 -02.358994      |     ~|13.91 |12.42 |12.04 | 9.897|M3             |  18|   0
3  | 372948.13|   100|2012AJ....143..114S|B              |RX J2137.6+0137            |PM*|324.4174450 +01.6204820    |     ~|14.91 |13.14 |13.071|10.439|M4.5V          |  28|   0
4  | 487994.25|    50|2012AJ....143...80S|S              |TYC 693-948-1              |*  |075.6993550 +12.3823428    |     ~|11.78 |10.90 |     ~|     ~|~              |   2|   0
5  | 540929.70|    50|2012AJ....143...80S|S              |UCAC4 783-000832           |PM*|006.7618095 +66.5108420    |     ~|     ~|12.739|12.321|     ~|~              |   4|   0
6  |  68831.65|    99|2013ApJ...762...88M|B              |HD 139084B                 |PM*|234.736650 -57.705281      |     ~|     ~|14.80 |14.88 |11.73 |M5Ve           |  20|   1
7  | 299780.55|   100|2014ApJ...788...81M|B              |V* AZ Cap                  |BY*|314.0114112 -17.1816123    |     ~|11.60 |10.477|10.180| 8.847|K7             |  61|   0
8  | 464452.97|    50|2012AJ....143...80S|S              |RX J0506.2+0439            |TT*|076.553858 +04.657550      |     ~|14.98 |13.46 |13.03 |10.410|M4.5V          |  15|   0
9  | 198998.85|    86|2015ApJ...798...73G|B              |2MASS J19444417-4359015    |PM*|296.184062 -43.983767      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
10 | 581940.51|    50|2012AJ....143...80S|S              |UCAC4 594-008941           |PM*|053.1491236 +28.7320384    |     ~|15.422|13.880|13.582|     ~|M4.5V          |  20|   0
11 | 347928.27|    50|2012AJ....143...80S|S              |[SLS2012] PYC J08227+0757  |PM*|125.697858 +07.954769      |     ~|     ~|14.6  |     ~|     ~|M4             |   5|   0
12 | 455088.77|    37|2015ApJ...798...73G|B              |2MASS J03103597-1046072    |*  |047.649875 -10.768678      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
13 | 320585.57|    50|2012AJ....143...80S|S              |UCAC4 595-047332           |PM*|158.9885180 +28.8920664    |     ~|     ~|13.165|12.691|     ~|M3.0V          |  11|   0
14 | 481861.55|   100|2010A&A...520A..15M|B              |LP 476-207                 |** |075.49497579 +09.98313487  |     ~|12.93 |11.53 |10.33 | 8.708|M3.5V          |  71|   0
15 | 541106.89|    50|2012AJ....143...80S|S              |UCAC4 513-003622           |PM*|034.4834486 +12.4239937    |     ~|     ~|14.088|13.728|     ~|M4             |  15|   0
16 | 518036.29|    11|2013ApJ...762...88M|B              |BD+05 378                  |Ro*|040.35786794 +05.98845030  |     ~|11.58 |10.271|     ~| 8.807|K6Ve           |  70|   1
17 | 284696.14|    75|2013ApJ...762...88M|S              |2MASS J21103096-2710513    |*  |317.62900 -27.18092        |     ~|     ~|     ~|     ~|     ~|M5             |  10|   0
18 | 183598.49|    99|2014ApJ...788...81M|B              |2MASS J19233820-4606316    |Ro*|290.90917 -46.10878        |     ~|     ~|11.871|     ~|10.139|M0             |  17|   0
19 | 529834.64|    69|2015ApJ...798...73G|B              |UCAC4 522-006639           |PM*|057.747921 +14.233803      |     ~|17.09 |15.56 |15.29 |     ~|~              |   3|   0
20 | 333206.21|    38|2015ApJS..219...33G|B              |2MASS J23433470-3646021    |BD*|355.894608 -36.767278      |     ~|     ~|     ~|     ~|     ~|L3-L6          |   6|   0
21 | 228025.85|    75|2013ApJ...762...88M|S              |UCAC3 116-474938           |PM*|299.012242 -32.121869      |     ~|14.79 |13.23 |12.98 |     ~|M4             |  29|   0
22 | 202358.26|    50|2012AJ....143...80S|S              |StKM 1-1155                |RS*|216.4830442 +14.2028056    |     ~|12.13 |11.05 |10.62 |     ~|M0.0V          |  15|   0
23 | 172808.66|     0|2013ApJ...762...88M|B              |* eta Tel                  |** |290.71335919 -54.42392980  |     ~| 5.035| 5.020|     ~| 4.99 |A0V+M7/8V      | 154|   0
24 | 121176.71|    99|2013ApJ...762...88M|B              |HD 155555C                 |PM*|259.380388 -66.951525      |     ~|14.36 |12.82 |12.33 |     ~|M3Ve           |  43|   1
25 | 140898.91|    99|2013ApJ...762...88M|B              |CD-43 12272                |** |271.70788800 -43.42522122  |     ~| 5.17 | 4.94 |     ~|     ~|A6V+A7V        |  32|   0
26 | 184740.76|    24|2015ApJ...798...73G|B              |2MASS J19541276-5711271    |PM*|298.553204 -57.190867      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
27 | 431218.63|    78|2015ApJ...798...73G|B              |2MASS J23461092-0519325    |PM*|356.545512 -05.325719      |     ~|16.72 |     ~|14.86 |12.18 |~              |   2|   0
28 | 151228.15|    75|2013ApJ...762...88M|S              |2MASS J18420694-5554254    |Ro*|280.52896 -55.90708        |     ~|     ~|13.535|     ~|10.725|M3.5           |  15|   0
29 | 400738.11|    50|2012AJ....143...80S|S              |UCAC4 729-047969           |PM*|154.3810148 +55.7081900    |     ~|     ~|11.961|11.694|     ~|~              |   4|   0
30 | 515022.84|    63|2015ApJ...798...73G|B              |2MASS J02540607+0527119    |*  |043.525329 +05.453331      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
31 | 393971.92|    75|2013ApJ...762...88M|S              |2MASS J05241914-1601153    |*  |081.07979 -16.02092        |     ~|     ~|     ~|     ~|     ~|M4.5           |  18|   0
32 | 156649.26|    45|2015ApJ...798...73G|B              |2MASS J19002957-6341281    |*  |285.123233 -63.691147      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
33 | 175683.08|   100|2014ApJ...788...81M|B              |ASAS J081742-8243.4        |Ro*|124.41433 -82.72494        |     ~|13.34 |11.621|     ~| 8.928|M3.5           |  18|   0
34 | 264989.02|   100|2014ApJ...788...81M|B              |2MASS J20333759-2556521    |PM*|308.40662 -25.94783        |     ~|     ~|14.87 |13.44 |11.57 |M4.5           |  17|   0
35 | 403722.69|    75|2013ApJ...762...88M|S              |BD-13 6424                 |Ro*|353.1285887 -12.2642989    |     ~|12.38 |10.639|10.320| 8.646|M0Ve           |  41|   0
36 | 425400.52|    50|2012AJ....143...80S|S              |StKM 1-1877                |PM*|319.6406525 +30.2429550    |     ~|13.24 |11.69 |11.154|     ~|M1.5V          |  13|   0
37 | 274468.21|   100|2014ApJ...788...81M|B              |EM* StHA 182               |** |310.921425 -24.564775      |     ~|     ~|13.5  |12.50 |10.10 |M4.1V+M3.7V    |  22|   0
38 | 299124.09|    75|2012AJ....144..109S|S              |HD 95174B                  |PM*|164.9111583 +25.4371422    |     ~|10.24 | 9.09 | 8.4  | 7.9  |K5             |  14|   0
39 | 361219.12|   100|2014ApJ...788...81M|B              |GJ 2006 A                  |PM*|006.959304 -32.551783      |     ~|14.33 |12.95 |11.79 |10.29 |M4             |  17|   0
40 | 372948.13|    75|2012AJ....144..109S|S              |RX J2137.6+0137            |PM*|324.4174450 +01.6204820    |     ~|14.91 |13.14 |13.071|10.439|M4.5V          |  28|   0
41 | 420466.85|    93|2015ApJ...798...73G|B              |2MASS J04231498-1533245    |LM*|065.812446 -15.556817      |     ~|     ~|     ~|     ~|     ~|M4:pec         |   2|   0
42 | 214192.85|   100|2014ApJ...788...81M|B              |CPD-72 2713                |Ro*|340.7038852 -71.7058856    |     ~|11.88 |10.565|10.401| 8.862|K7Ve           |  30|   0
43 | 568182.99|    50|2012AJ....143...80S|S              |TYC 1231-151-1             |PM*|047.6364246 +21.5289878    |     ~|12.50 |11.23 |     ~|     ~|~              |   2|   0
44 | 458183.86|    49|2015ApJS..219...33G|B              |2MASS J05201794+0511521    |LM*|080.074769 +05.197826      |     ~|     ~|     ~|     ~|     ~|K0             |   1|   0
45 | 457037.58|   100|2010ApJ...723.1599M|B              |GJ 3305                    |TT*|069.406113 -02.491236      |     ~|12.04 |10.59 |     ~| 8.59 |M1.1V          |  83|   0
46 | 234413.93|    75|2013ApJ...762...88M|S              |2MASS J19312434-2134226    |PM*|292.851425 -21.572956      |     ~|     ~|     ~|11.43 |     ~|M2.4V          |  12|   0
47 | 259835.98|   100|2010ApJ...723.1599M|B              |V* AU Mic                  |BY*|311.28971448 -31.34090070  |     ~|10.05 | 8.627| 9.078| 6.593|M1VeBa1        | 513|   0
48 | 459719.41|    19|2015ApJ...798...73G|B              |2MASS J00160844-0043021    |BD*|004.03517 -00.71725        |     ~|     ~|     ~|     ~|     ~|L5.5           |   7|   0
49 | 421925.78|    86|2015ApJ...814..118B|B              |2MASS J04473039-1216155    |IR |071.876650 -12.270983      |     ~|     ~|     ~|     ~|     ~|T2:            |   1|   0
50 | 216697.60|   100|2014ApJ...788...81M|B              |1SWASP J191028.18-231948.0 |PM*|287.61754 -23.33017        |     ~|14.755|13.222|     ~|     ~|M4             |  14|   0
51 | 435248.87|    24|2015ApJS..219...33G|B              |2MASS J04173836-1140256    |LM*|064.409850 -11.673802      |     ~|     ~|     ~|     ~|     ~|M2:            |   1|   0
52 | 152623.26|    50|2009A&A...503..281T|B              |TWA 22                     |LXB|154.36204 -53.90736        |     ~|15.69 |13.96 |13.72 |     ~|M5             |  55|   0
53 | 390423.71|    37|2015ApJ...798...73G|B              |USNO-B1.0 0746-00836608    |PM*|351.070350 -15.373022      |     ~|17.8  |     ~|15.6  |13.09 |~              |   2|   0
54 | 151357.34|   100|2010A&A...520A..15M|B              |Smethells 20               |PM*|281.7189724 -62.1768398    |     ~|13.07 |11.831|11.612| 9.99 |M1Ve           |  30|   0
55 | 203712.30|   100|2014ApJ...788...81M|B              |TYC 9114-1267-1            |PM*|320.3695354 -66.9184459    |     ~|11.94 |10.595|10.244|     ~|K7V            |  15|   0
56 | 533790.61|    92|2015ApJ...814..118B|B              |PSO J057.2893+15.2433      |BD*|057.28933 +15.24333        |     ~|     ~|     ~|     ~|     ~|L7             |   4|   0
57 | 513842.30|    58|2015ApJ...798...73G|B              |[SLS2012] PYC J00390+1330  |LM*|009.764271 +13.504731      |     ~|     ~|15.7  |     ~|     ~|M4pec          |   3|   0
58 | 372948.13|    50|2012AJ....143...80S|S              |RX J2137.6+0137            |PM*|324.4174450 +01.6204820    |     ~|14.91 |13.14 |13.071|10.439|M4.5V          |  28|   0
59 | 255405.02|   100|2010ApJ...723.1599M|B              |NAME AT Mic A              |PM*|310.463150 -32.435161      |     ~|12.67 |10.36 |10.67 | 7.40 |M4.5Ve         |  25|   0
60 | 420466.85|    75|2015ApJS..219...33G|S              |2MASS J04231498-1533245    |LM*|065.812446 -15.556817      |     ~|     ~|     ~|     ~|     ~|M4:pec         |   2|   0
61 | 387890.55|    62|2015ApJ...798...73G|B              |2MASS J03134187-2932470    |PM*|048.424466 -29.546394      |     ~|16.08 |     ~|13.70 |11.82 |~              |   2|   0
62 | 405204.02|    28|2015ApJS..219...33G|B              |2MASS J04402583-1820414    |LM*|070.107655 -18.344860      |     ~|     ~|     ~|     ~|     ~|M6             |   1|   0
63 | 195114.92|    75|2013ApJ...762...88M|S              |TYC 6872-1011-1            |Ro*|284.5173292 -29.8846050    |     ~|13.96 |11.800|11.395| 9.637|M0Ve           |  23|   0
64 | 161386.37|    99|2013ApJ...762...88M|B              |V* PZ Tel                  |BY*|283.27448028 -50.18052228  |     ~| 9.22 | 8.342|     ~| 7.464|G9IV           | 155|   0
65 | 424955.59|    28|2015ApJ...798...73G|B              |2MASS J23473986-0739414    |*  |356.916121 -07.661517      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
66 | 303447.13|   100|2014ApJ...788...81M|B              |GSC 06354-00357            |Ro*|317.52233 -19.33261        |     ~|     ~|11.66 |     ~|     ~|M2             |  23|   0
67 | 410669.50|    50|2012AJ....143...80S|S              |UCAC4 545-041418           |Ro*|111.6730953 +18.8429517    |     ~|     ~|13.834|13.462|     ~|M4             |   7|   0
68 | 415115.84|    50|2012AJ....143...80S|S              |[SLS2012] PYC J08376+4148N |PM*|129.413513 +41.801792      |     ~|     ~|10.3  |     ~|     ~|~              |   1|   0
69 | 329342.25|    50|2012AJ....143...80S|S              |[SLS2012] PYC J11167+3814  |PM*|169.192067 +38.237133      |     ~|     ~|15.3  |     ~|     ~|~              |   2|   0
70 | 445037.69|    31|2015ApJ...798...73G|B              |2MASS J00193193-0554404    |*  |004.883079 -05.911244      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
71 | 352931.02|     1|2015ApJ...798...73G|B              |2MASS J01234181-3833496    |*  |020.92425 -38.56378        |     ~|     ~|     ~|14.94 |     ~|~              |   3|   0
72 | 299124.09|    50|2012AJ....143...80S|S              |HD 95174B                  |PM*|164.9111583 +25.4371422    |     ~|10.24 | 9.09 | 8.4  | 7.9  |K5             |  14|   0
73 | 143887.36|    75|2013ApJ...762...88M|S              |V* DZ Cha                  |Or*|177.38267 -78.85031        |     ~|13.500|12.832|11.600|10.732|M0Ve           |  36|   0
74 | 398364.09|    75|2010AJ....140..119S|S              |LSPM J0801+2342            |PM*|120.4314736 +23.7075587    |     ~|12.05 |10.98 |10.440|     ~|M1.5Ve         |   6|   0
75 | 608278.58|    99|2013ApJ...762...88M|B              |BD+30 397B                 |PM*|036.866867 +30.977925      |     ~|14.05 |12.55 |     ~|     ~|M0             |  25|   0
76 | 558279.81|    50|2012AJ....143...80S|S              |UCAC4 544-006034           |PM*|047.7232006 +18.6440125    |     ~|     ~|12.400|11.880|     ~|M0             |   5|   0
77 | 255402.68|   100|2010ApJ...723.1599M|B              |NAME AT Mic B              |PM*|310.463112 -32.436172      |     ~|12.64 |11.34 |10.79 |     ~|M4.5Ve         |  46|   0
78 | 391818.84|    20|2015ApJ...798...73G|B              |2MASS J21501011+0558137    |*  |327.542129 +05.970489      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
79 | 236858.06|    75|2015ApJS..219...33G|S              |1RXS J085402.2-305139      |LM*|133.510033 -30.860169      |     ~|15.03 |13.41 |13.089|     ~|M4             |  13|   0
80 | 495665.04|    75|2010AJ....140..119S|S              |UCAC3 230-296890           |PM*|350.3467492 +24.8031584    |     ~|     ~|13.320|12.910|     ~|~              |   3|   0
81 | 186679.76|   100|2014ApJ...788...81M|B              |CD-31 16041                |Y*O|282.6853637 -31.7964811    |     ~|12.25 |11.191|10.745| 9.432|K8Ve           |  29|   0
82 | 440624.92|    75|2013ApJ...762...88M|S              |UCAC2 26367237             |** |028.4615583 -14.9973192    |     ~|13.49 |12.01 |11.91 | 9.349|M3             |  17|   0
83 | 183983.16|    58|2015ApJ...798...73G|B              |2MASS J19395435-5216468    |BD*|294.976487 -52.279683      |     ~|     ~|     ~|     ~|     ~|L1             |   3|   0
84 | 216246.98|    91|2015ApJ...798...73G|B              |UCAC4 205-182806           |PM*|308.257508 -49.052531      |     ~|17.03 |15.26 |15.10 |     ~|~              |   7|   0
85 | 160760.11|   100|2010A&A...520A..15M|B              |HD 319139                  |BY*|273.5436083 -32.7929156    |     ~|11.47 |10.68 |     ~| 9.11 |K5+K7          | 196|   0
86 | 434526.98|    50|2012AJ....143...80S|S              |TYC 4571-1414-1            |PM*|244.2973892 +77.5632603    |     ~|13.7  |12.129|11.825|     ~|~              |   7|   0
87 | 323110.66|    75|2013ApJ...762...88M|S              |CD-39 1935                 |bL*|080.6903996 -39.2850244    |     ~|11.90 |10.84 |     ~| 9.242|K2IIIe         |  10|   0
88 | 170422.19|    13|2015ApJ...798...73G|B              |2MASS J19112321-5105175    |PM*|287.846729 -51.088214      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
89 | 554375.66|   100|2012AJ....143..114S|B              |V* V962 Per                |BY*|070.9869621 +37.3842456    |     ~|15.35 |13.318|12.932|     ~|M2V            |  19|   0
90 | 499665.86|    50|2012AJ....143...80S|S              |UCAC4 457-002664           |PM*|030.4449500 +01.2877556    |     ~|     ~|12.8  |12.749|     ~|~              |   7|   0
91 | 336119.65|    75|2013ApJ...762...88M|S              |UCAC2 20312880             |SB*|093.305462 -27.701556      |     ~|13.77 |12.30 |11.10 | 9.52 |M3.5           |  20|   0
92 | 432278.16|    75|2012AJ....144..109S|S              |UCAC4 785-021138           |PM*|150.4998512 +66.8577020    |     ~|     ~|12.289|11.808|     ~|M3             |   9|   0
93 | 420259.42|    50|2012AJ....143...80S|S              |UCAC3 222-283173           |PM*|325.360958 +20.719700      |     ~|14.95 |13.43 |13.014|     ~|M3.0V          |  10|   0
94 | 373901.36|    75|2012AJ....143...80S|S              |MCC 549                    |SB*|144.0663083 +37.5293078    |     ~|12.75 |11.015|10.539|     ~|M0.0V          |  25|   0
95 | 220552.46|    50|2012AJ....143...80S|S              |RX J1151.9+0731            |PM*|177.986746 +07.524039      |     ~|13.82 |12.42 |12.06 |10.156|M2.5V          |  19|   0
96 | 566135.74|     8|2012ApJ...758...56S|B              |EPIC 211046195             |LM*|053.758696 +23.709892      |     ~|     ~|     ~|17.67 |     ~|M8.5V          |  38|   1
97 | 150744.70|   100|2010ApJ...723.1599M|B              |CD-64 1208                 |** |281.403763 -64.863142      |     ~|10.52 | 9.433| 9.69 |     ~|K5Ve           |  51|   0
98 | 551084.38|    50|2012AJ....143...80S|S              |2MASS J04113637+2504418    |Ro*|062.901579 +25.078303      |     ~|     ~|14.8  |     ~|     ~|M4             |   3|   0
99 | 161386.37|   100|2010A&A...520A..15M|B              |V* PZ Tel                  |BY*|283.27448028 -50.18052228  |     ~| 9.22 | 8.342|     ~| 7.464|G9IV           | 155|   0
100| 172290.55|    75|2010AJ....140..119S|S              |BD-07 4390                 |PM*|255.4109354 -07.7274389    |     ~|11.99 |10.49 |10.12 |     ~|~              |   1|   0
101| 245468.77|   100|2014ApJ...788...81M|B              |UCAC3 124-580676           |SB*|302.500154 -28.028067      |     ~|14.49 |12.99 |12.52 |10.09 |M3             |  23|   0
102| 239522.00|    75|2015ApJS..219...33G|S              |2MASS J20334670-3733443    |LM*|308.444608 -37.562322      |     ~|     ~|     ~|15.64 |     ~|M5.0           |   5|   0
103| 120911.65|    99|2013ApJ...762...88M|B              |HD 160305                  |Em*|265.45432148 -50.72445504  |     ~| 8.91 | 8.405|     ~| 7.736|F8/G0V         |  21|   1
104| 459879.53|    75|2015ApJS..219...33G|S              |2MASS J01294256-0823580    |LM*|022.427333 -08.399469      |     ~|     ~|     ~|15.22 |     ~|M5.0           |   6|   0
105| 284696.98|    75|2013ApJ...762...88M|S              |2MASS J21103147-2710578    |*  |317.63117 -27.18272        |     ~|     ~|     ~|     ~|     ~|M4.5           |  12|   0
106| 121145.51|   100|2010ApJ...723.1599M|B              |HD 155555                  |RS*|259.3562729 -66.9510364    | 7.795| 7.499| 6.723|     ~| 6.39 |K1Vp           | 139|   2
107| 519345.79|    76|2015ApJ...798...73G|B              |EPIC 220700885             |PM*|016.167004 +11.496811      |     ~|     ~|16.6  |     ~|     ~|~              |   3|   0
108| 401561.89|    12|2015ApJS..219...33G|B              |2MASS J03390160-2434059    |LM*|054.756667 -24.568328      |     ~|     ~|     ~|     ~|     ~|M5             |   3|   0
109|  68841.81|    99|2013ApJ...762...88M|B              |HD 139084                  |BY*|234.7397821 -57.7075742    |     ~| 8.78 | 7.977|     ~| 7.106|K0V            |  92|   0
110| 441472.65|    46|2015ApJ...798...73G|B              |SCR J0027-0806             |LM*|006.938946 -08.101283      |     ~|18.2  |17.51 |16.5  |13.72 |M5.5           |   7|   0
111| 263026.29|    75|2013ApJ...762...88M|S              |UCAC3 122-609928           |PM*|310.81121 -29.42269        |     ~|     ~|     ~|16.44 |13.15 |K5             |   4|   0
112| 121145.51|    99|2013ApJ...762...88M|B              |HD 155555                  |RS*|259.3562729 -66.9510364    | 7.795| 7.499| 6.723|     ~| 6.39 |K1Vp           | 139|   2
113| 310740.32|     4|2013ApJ...762...88M|B              |MCC 124                    |BY*|153.57990266 +21.07487623  |12.667|11.451|10.083| 9.155| 8.250|M0.7V          |  64|   1
114| 245992.29|   100|2014ApJ...788...81M|B              |RBS 38                     |Ro*|004.34808 -66.75347        |     ~|     ~|12.353|11.37 |10.00 |M2.5           |  18|   0
115|  97040.17|   100|2014ApJ...788...81M|B              |2MASS J16572029-5343316    |PM*|254.33458 -53.72547        |     ~|13.876|12.411|     ~|     ~|M3             |  16|   0
116| 446196.10|    35|2015ApJ...798...73G|B              |2MASS J03550477-1032415    |LM*|058.769892 -10.544883      |     ~|     ~|     ~|     ~|     ~|M8.5           |   7|   0
117| 261924.40|    60|2015ApJ...798...73G|B              |SIPS J2049-3130            |PM*|312.326646 -31.511747      |     ~|     ~|     ~|18.10 |15.241|~              |   2|   0
118| 356550.80|    75|2015ApJS..219...33G|S              |2MASS J05120636-2949540    |BD*|078.026529 -29.831669      |     ~|     ~|     ~|     ~|     ~|L5             |  15|   0
119| 195114.92|   100|2010A&A...520A..15M|B              |TYC 6872-1011-1            |Ro*|284.5173292 -29.8846050    |     ~|13.96 |11.800|11.395| 9.637|M0Ve           |  23|   0
120| 299782.34|    99|2013ApJ...762...88M|B              |HD 199143                  |** |313.94864157 -17.11417888  |     ~| 7.84 | 7.32 | 7.3  |     ~|F8V            |  85|   0
121| 518036.29|   100|2010A&A...520A..15M|B              |BD+05 378                  |Ro*|040.35786794 +05.98845030  |     ~|11.58 |10.271|     ~| 8.807|K6Ve           |  70|   1
122| 172196.92|    98|2015ApJ...798...73G|B              |DENIS J200048.3-752306     |BD*|300.201737 -75.385283      |     ~|     ~|21.157|18.379|16.119|M9             |  17|   0
123| 106871.26|    99|2014ApJ...788...81M|B              |UPM J1354-7121             |PM*|208.724596 -71.363242      |     ~|13.72 |12.24 |11.82 | 9.80 |M2.5           |  13|   0
